"object_id","term_taxonomy_id","term_order"
"677","104","0"
"689","42","0"
"682","18","0"
"682","19","0"
"682","5","0"
"689","5","0"
"689","21","0"
"691","27","0"
"691","39","0"
"691","28","0"
"697","31","0"
"695","31","0"
"695","32","0"
"695","33","0"
"697","30","0"
"697","32","0"
"702","27","0"
"702","30","0"
"702","28","0"
"705","68","0"
"705","30","0"
"705","69","0"
"705","70","0"
"406","27","0"
"716","37","0"
"716","51","0"
"716","5","0"
"723","36","0"
"723","105","0"
"723","5","0"
"739","106","0"
"912","8","0"
"912","56","0"
"912","55","0"
"936","65","0"
"936","107","0"
"936","7","0"
"936","33","0"
"939","65","0"
"939","107","0"
"939","7","0"
"939","55","0"
"979","94","0"
"979","8","0"
"979","5","0"
"990","108","0"
"990","17","0"
"990","5","0"
"1028","36","0"
"1028","109","0"
"1028","5","0"
"1046","110","0"
"1046","37","0"
"1046","85","0"
"1046","39","0"
"406","39","0"
"406","28","0"
"721","7","0"
"678","24","0"
"678","21","0"
"678","5","0"
"680","49","0"
"680","36","0"
"680","5","0"
"721","5","0"
"721","22","0"
"931","107","0"
"931","111","0"
"931","7","0"
"956","62","0"
"956","61","0"
"956","36","0"
"1040","27","0"
"967","91","0"
"967","21","0"
"967","5","0"
"968","86","0"
"968","11","0"
"968","54","0"
"968","5","0"
"981","95","0"
"981","31","0"
"981","106","0"
"981","54","0"
"1006","35","0"
"1006","36","0"
"1006","5","0"
"1012","52","0"
"1012","17","0"
"1012","53","0"
"1026","77","0"
"1026","31","0"
"1026","5","0"
"1032","3","0"
"1032","4","0"
"1032","5","0"
"1040","39","0"
"1040","63","0"
"1093","27","0"
"1042","68","0"
"1042","112","0"
"1042","70","0"
"1042","5","0"
"1057","87","0"
"1057","7","0"
"1057","5","0"
"1079","18","0"
"1079","76","0"
"1079","106","0"
"1079","5","0"
"1089","99","0"
"1089","11","0"
"1089","5","0"
"1111","67","0"
"1111","113","0"
"1111","5","0"
"1122","37","0"
"1122","114","0"
"1122","5","0"
"1037","16","0"
"1037","17","0"
"1037","5","0"
"1048","110","0"
"1048","37","0"
"1048","85","0"
"1048","5","0"
"1051","65","0"
"1051","7","0"
"1051","5","0"
"1055","72","0"
"1055","73","0"
"1055","5","0"
"1060","4","0"
"1060","78","0"
"1060","5","0"
"1069","45","0"
"1069","46","0"
"1069","5","0"
"1070","115","0"
"1070","46","0"
"1070","5","0"
"1093","39","0"
"1093","28","0"
"1134","102","0"
"1101","36","0"
"1101","97","0"
"1101","5","0"
"1105","8","0"
"1105","9","0"
"1105","55","0"
"1115","17","0"
"1115","116","0"
"1115","5","0"
"1119","43","0"
"1119","44","0"
"1119","117","0"
"1119","5","0"
"1131","47","0"
"1131","48","0"
"1131","54","0"
"1131","5","0"
"1134","5","0"
"1134","7","0"
"1242","27","0"
"1139","118","0"
"1139","11","0"
"1139","5","0"
"1159","94","0"
"1159","8","0"
"1159","54","0"
"1176","92","0"
"1176","72","0"
"1176","5","0"
"1238","31","0"
"1238","119","0"
"1238","5","0"
"1242","30","0"
"1242","28","0"
"1264","7","0"
"1264","30","0"
"1264","22","0"
"1064","93","0"
"1062","8","0"
"1062","9","0"
"1062","5","0"
"1064","5","0"
"1064","7","0"
"1083","26","0"
"1076","31","0"
