"meta_id","comment_id","meta_key","meta_value"
"113","86","akismet_history","a:4:{s:4:""time"";s:13:""1306183837.62"";s:7:""message"";s:44:""admin changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:5:""admin"";}"
"114","87","akismet_result","false"
"115","87","akismet_history","a:4:{s:4:""time"";s:13:""1300830172.45"";s:7:""message"";s:28:""Akismet cleared this comment"";s:5:""event"";s:9:""check-ham"";s:4:""user"";s:0:"""";}"
"117","87","akismet_history","a:4:{s:4:""time"";s:13:""1300830397.75"";s:7:""message"";s:44:""admin changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:5:""admin"";}"
"118","88","akismet_history","a:4:{s:4:""time"";s:12:""1310674499.4"";s:7:""message"";s:44:""admin changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:5:""admin"";}"
"119","88","akismet_result","false"
"120","88","akismet_history","a:4:{s:4:""time"";s:13:""1310556348.36"";s:7:""message"";s:28:""Akismet cleared this comment"";s:5:""event"";s:9:""check-ham"";s:4:""user"";s:0:"""";}"
"122","89","akismet_result","false"
"123","89","akismet_history","a:4:{s:4:""time"";s:13:""1302814937.39"";s:7:""message"";s:28:""Akismet cleared this comment"";s:5:""event"";s:9:""check-ham"";s:4:""user"";s:0:"""";}"
"125","89","akismet_history","a:4:{s:4:""time"";s:13:""1302828189.52"";s:7:""message"";s:44:""admin changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:5:""admin"";}"
"126","90","akismet_result","false"
"127","90","akismet_history","a:4:{s:4:""time"";s:13:""1303415936.11"";s:7:""message"";s:28:""Akismet cleared this comment"";s:5:""event"";s:9:""check-ham"";s:4:""user"";s:0:"""";}"
"129","90","akismet_history","a:4:{s:4:""time"";s:13:""1303418979.68"";s:7:""message"";s:44:""admin changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:5:""admin"";}"
"130","91","akismet_history","a:4:{s:4:""time"";s:13:""1306185594.54"";s:7:""message"";s:44:""admin changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:5:""admin"";}"
"131","91","akismet_result","false"
"132","91","akismet_history","a:4:{s:4:""time"";s:13:""1306185296.65"";s:7:""message"";s:28:""Akismet cleared this comment"";s:5:""event"";s:9:""check-ham"";s:4:""user"";s:0:"""";}"
"134","92","akismet_result","false"
